2014-09-28 01:23:11,197 [Worker-6] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|http://repo.maven.apache.org/maven2
2014-09-28 01:23:11,255 [Worker-6] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-09-28 01:23:43,179 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\masterSpring\chapter2\pom.xml
2014-09-28 01:23:44,211 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.ly.spring:chapter2:0.0.1-SNAPSHOT @ C:\masterSpring\chapter2\pom.xml.
2014-09-28 01:23:44,865 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chapter2/src/main/java
2014-09-28 01:23:44,865 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chapter2/src/main/resources
2014-09-28 01:23:44,866 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chapter2/src/test/java
2014-09-28 01:23:45,865 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 2 sec
2014-09-28 01:23:45,910 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.ly.spring:chapter2:0.0.1-SNAPSHOT @ C:\masterSpring\chapter2\pom.xml.
2014-09-28 01:23:46,259 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.ly.spring:chapter2:0.0.1-SNAPSHOT @ C:\masterSpring\chapter2\pom.xml.
2014-09-28 01:23:46,816 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:23:46,823 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-28 01:23:46,826 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:23:46,829 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\masterSpring\chapter2\src\test\resources
2014-09-28 01:23:47,941 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.ly.spring:chapter2:0.0.1-SNAPSHOT @ C:\masterSpring\chapter2\pom.xml.
2014-09-28 01:23:48,184 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:23:48,202 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-28 01:23:48,208 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:23:48,213 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\masterSpring\chapter2\src\test\resources
2014-09-28 01:24:10,281 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.ly.spring:chapter2:0.0.1-SNAPSHOT @ C:\masterSpring\chapter2\pom.xml.
2014-09-28 01:24:10,347 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:24:10,353 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-28 01:24:10,357 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:24:10,360 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\masterSpring\chapter2\src\test\resources
2014-09-28 01:24:19,525 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:24:19,529 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-28 01:24:19,531 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-28 01:24:19,534 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\masterSpring\chapter2\src\test\resources
